twitterUsername,politicalParty,tweetText
ChrisMurphyCT,D,"RT @brianschatz: @ChrisMurphyCT @BetoORourke Murph, Beto, @JulianCastro this thing is going up again fast let's go! Like, maybe 750 bucks a..."
ChrisMurphyCT,D,"$133,000 raised so far today. Crazy awesome.

@BetoORourke says early voting is off the charts and both Biden and H... https://t.co/It118r2rXh"
ChrisMurphyCT,D,It didn't hit me until the 2 pt conversion. Realized I was routing for Washington to convert. https://t.co/fkOkzBQsg5
ChrisMurphyCT,D,"Hey @AdamSchiff weighing in! Thanks, friend. How bout some more California love for MJ from the rest of the delegat... https://t.co/zEKUrRTVm3"
ChrisMurphyCT,D,"RT @edokeefe: AD WATCH: One of four distinct @joebiden campaign ads airing during @nfl games today and tomorrow is called, ""The Blind Pig.""..."
ChrisMurphyCT,D,"RT @sarahnferris: ""We all expect that President Trump is going to play dirty,"" Sen. @ChrisMurphyCT tells reporters. 

Dems are putting out..."
ChrisMurphyCT,D,"Let me break down why @brianschatz and I are asking you to donate to MJ Hegar today.

She is down 3 pts.

But among... https://t.co/fzwecnuhmz"
ChrisMurphyCT,D,"RT @CoryBooker: Yes @brianschatz there is huge opportunity and urgency in Texas. We can win the Senate seat there.  
 
If you can, please c..."
ChrisMurphyCT,D,RT @BetoORourke: So grateful to see @brianschatz and @ChrisMurphyCT going all in for Texas and @mjhegar! Let's all pitch in and do our part...
ChrisMurphyCT,D,"RT @kumailn: I just donated to @mjhegar. If you can afford to, please do the same. Link below."
ChrisMurphyCT,D,"RT @ppppolls: Not only is Hegar within 3 points of Cornyn, she LEADS among voters who have heard of her.

What's aiding Cornyn is a 15 poin..."
ChrisMurphyCT,D,YES! This is where the money will go the furthest right now. Obviously a super expensive state so every dollar has... https://t.co/j3zhqRLOHT
ChrisMurphyCT,D,Yes. 2 weeks to go. Let's pick a state where 1) both the Senate and Presidential race are closing; and 2) they can... https://t.co/jKl8FFKbCc
ChrisMurphyCT,D,RT @brianschatz: Hey @ChrisMurphyCT just over two weeks left and I think we need to make a push today for a Senate seat that still needs mo...
ChrisMurphyCT,D,"RT @MollyJongFast: This is kind of amazing 
 https://t.co/04QOzeCJfF"
